tanggal,tps,data
2020-01-01,91.78,train
2020-02-01,89.63,train
2020-03-01,103.07,train
2020-04-01,94.79,train
2020-05-01,101.82,train
2020-06-01,106.32,train
2020-07-01,110.44,train
2020-08-01,116.77,train
2020-09-01,117.18,train
2020-10-01,115.04,train
2020-11-01,137.19,train
2020-12-01,138.15,train
2021-01-01,133.89,train
2021-02-01,132.34,train
2021-03-01,155.41,train
2021-04-01,154.44,train
2021-05-01,160.17,train
2021-06-01,174.11,train
2021-07-01,181.7,train
2021-08-01,194.11,train
2021-09-01,195.65,train
2021-10-01,207.0,train
2021-11-01,211.48,train
2021-12-01,234.83,train
2021-12-01,234.83,validation
2022-01-01,232.88,validation
2022-02-01,220.85,validation
2022-03-01,259.67,validation
2022-04-01,274.95,validation
2022-05-01,247.6,validation
2022-06-01,258.45,validation
2022-07-01,276.69,validation
2022-08-01,274.64,validation
2022-09-01,272.27,validation
2022-10-01,290.85,validation
2022-11-01,293.7,validation
2022-12-01,320.79,validation
2021-12-01,246.58558654785156,prediction
2022-01-01,251.77523803710938,prediction
2022-02-01,258.88818359375,prediction
2022-03-01,256.30401611328125,prediction
2022-04-01,258.8076477050781,prediction
2022-05-01,273.82537841796875,prediction
2022-06-01,274.2381591796875,prediction
2022-07-01,267.1875305175781,prediction
2022-08-01,273.7192687988281,prediction
2022-09-01,279.30902099609375,prediction
2022-10-01,278.2449035644531,prediction
2022-11-01,280.5798645019531,prediction
2022-12-01,287.14080810546875,prediction
