tanggal,Train Predictions,Actuals
2019-01,131.22176,90.24
2019-02,125.79582,100.44
2019-03,111.68161,110.1
2019-04,121.36003,88.06
2019-05,120.962036,112.07
2019-06,113.8131,107.15
2019-07,128.12184,112.73
2019-08,126.59331,124.51
2019-09,133.91042,127.3
2019-10,142.56297,135.61
2019-11,146.98631,127.05
2019-12,149.83621,136.05
2020-01,146.95726,145.12
2020-02,155.74289,137.95
2020-03,159.5302,143.49
2020-04,156.4961,152.75
2020-05,163.06071,155.52
2020-06,170.0812,163.68
2020-07,174.47807,170.41
2020-08,182.02344,162.04
2020-09,183.8815,196.21
2020-10,189.04993,191.89
2020-11,210.51698,177.43
2020-12,203.05995,192.22
2021-01,198.06569,206.69
2021-02,212.53455,221.0
2021-03,226.77475,224.47
2021-04,237.4808,243.39
2021-05,245.8543,242.61
2021-06,258.324,258.67
2021-07,262.94998,289.67
2021-08,283.74704,277.89
2021-09,300.8485,316.71
2021-10,305.45798,304.31
2021-11,327.64627,301.54
2021-12,318.37674,317.41
2022-01,321.652,350.63
2022-02,343.1723,336.82
2022-03,361.11887,336.79
2022-04,351.7804,367.54
