tanggal,jml_transaksi,satuan,tps
2020-1,237886.08,ribu,91.78
2020-2,232328.04,ribu,89.63
2020-3,267165.42,ribu,103.07
2020-4,245700.34,ribu,94.79
2020-5,263912.48,ribu,101.82
2020-6,275580.22,ribu,106.32
2020-7,286267.38,ribu,110.44
2020-8,302656.08,ribu,116.77
2020-9,303736.88,ribu,117.18
2020-10,298189.96,ribu,115.04
2020-11,355605.87,ribu,137.19
2020-12,358072.17,ribu,138.15
2021-1,347055.16,ribu,133.89
2021-2,343026.31,ribu,132.34
2021-3,402821.48,ribu,155.41
2021-4,400320.47,ribu,154.44
2021-5,415157.73,ribu,160.17
2021-6,451291.40,ribu,174.11
2021-7,470962.90,ribu,181.70
2021-8,503141.01,ribu,194.11
2021-9,507119.42,ribu,195.65
2021-10,536531.07,ribu,207.00
2021-11,548144.58,ribu,211.48
2021-12,608673.48,ribu,234.83
2022-1,603622.36,ribu,232.88
2022-2,572454.18,ribu,220.85
2022-3,673073.33,ribu,259.67
2022-4,712670.67,ribu,274.95
2022-5,641783.07,ribu,247.60
2022-6,669897.71,ribu,258.45
2022-7,717190.68,ribu,276.69
2022-8,711858.34,ribu,274.64
2022-9,705725.75,ribu,272.27
2022-10,753886.50,ribu,290.85
2022-11,761274.49,ribu,293.70
2022-12,831499.80,ribu,320.79
