tanggal,phone_banking,sms_mobile_banking,internet_banking,pb_pembayaran,pb_intrabank,pb_antarbank,mb_pembayaran,mb_intrabank,mb_antarbank,ib_pembayaran,ib_intrabank,ib_antarbank,overall_transaksi,satuan,tps,jml_kartu,,,,
2019-01-31,82.77,182818.44,118267.54,,,,,,,,,,301168.74,ribu,112.44,154.34,,,,
2019-02-28,82.06,176027.35,105538.53,,,,,,,,,,281647.94,ribu,116.42,154.86,,,,
2019-03-31,102.68,159770.52,81827.20,,,,,,,,,,241700.40,ribu,90.24,156.81,,,,
2019-04-30,117.43,174190.80,86032.59,,,,,,,,,,260340.82,ribu,100.44,158.74,,,,
2019-05-31,148.93,199644.59,95109.31,,,,,,,,,,294902.83,ribu,110.10,161.30,,,,
2019-06-30,151.40,154396.71,73700.37,,,,,,,,,,228248.49,ribu,88.06,162.99,,,,
2019-07-31,226.88,204967.59,94986.97,,,,,,,,,,300181.44,ribu,112.07,165.70,,,,
2019-08-31,236.43,196206.84,90557.00,,,,,,,,,,287000.27,ribu,107.15,168.48,,,,
2019-09-30,245.97,198159.19,93799.41,,,,,,,,,,292204.57,ribu,112.73,170.14,,,,
2019-10-31,272.83,230162.55,103056.62,,,,,,,,,,333492.00,ribu,124.51,172.05,,,,
2019-11-30,284.79,228392.26,101295.14,,,,,,,,,,329972.19,ribu,127.30,174.30,,,,
2019-12-31,240.39,255357.28,107617.51,,,,,,,,,,363215.17,ribu,135.61,174.45,,,,
2020-01-31,119.16,237886.08,102288.72,,,,,,,,,,340293.96,ribu,127.05,176.30,,,,
2020-02-29,108.19,232328.04,108454.03,,,,,,,,,,340890.25,ribu,136.05,177.50,,,,
2020-03-31,125.69,267165.42,121399.55,,,,,,,,,,388690.65,ribu,145.12,180.09,,,,
2020-04-30,144.08,245700.34,111721.31,,,,,,,,,,357565.73,ribu,137.95,183.14,,,,
2020-05-31,174.60,263912.48,120243.46,,,,,,,,,,384330.53,ribu,143.49,186.02,,,,
2020-06-30,146.70,275580.22,120211.67,,,,,,,,,,395938.58,ribu,152.75,188.13,,,,
2020-07-31,165.24,286267.38,130102.19,,,,,,,,,,416534.81,ribu,155.52,190.69,,,,
2020-08-31,179.00,302656.08,135558.58,,,,,,,,,,438393.67,ribu,163.68,192.70,,,,
2020-09-30,175.93,303736.88,137781.33,,,,,,,,,,441694.13,ribu,170.41,195.84,,,,
2020-10-31,177.77,298189.96,135636.24,,,,,,,,,,434003.97,ribu,162.04,199.64,,,,
2020-11-30,189.25,355605.87,152782.13,,,,,,,,,,508577.25,ribu,196.21,203.99,,,,
2020-12-31,213.62,358072.17,155660.17,,,,,,,,,,513945.95,ribu,191.89,204.10,,,,
2021-01-31,181.68,347055.16,127991.74,,,,,,,,,,475228.58,ribu,177.43,206.61,,,,
2021-02-28,164.83,343026.31,121818.59,,,,,,,,,,465009.74,ribu,192.22,207.96,,,,
2021-03-31,11.35,402821.48,150771.94,,,,,,,,,,553604.76,ribu,206.69,210.24,,,,
2021-04-30,10.90,400320.47,172509.89,,,,,,,,,,572841.26,ribu,221.00,210.85,,,,
2021-05-31,10.64,415157.73,186039.51,,,,,,,,,,601207.88,ribu,224.47,211.78,,,,
2021-06-30,10.92,451291.40,179563.40,,,,,,,,,,630865.72,ribu,243.39,204.58,,,,
2021-07-31,9.97,470962.90,178845.43,,,,,,,,,,649818.30,ribu,242.61,204.86,,,,
2021-08-31,10.68,503141.01,189664.26,5.12,2.55,3.01,81239.16,345162.04,76739.81,31392.39,134870.77,23401.10,692815.94,ribu,258.67,209.75,,,,
2021-09-30,10.74,507119.42,243704.46,5.12,2.47,3.16,87959.63,342061.25,77098.54,47093.87,165839.43,30771.16,750834.63,ribu,289.67,211.22,,,,
2021-10-31,10.80,536531.07,207762.68,5.12,2.40,3.29,92017.26,363480.12,81033.68,33238.36,151659.22,22865.10,744304.55,ribu,277.89,214.16,,,,
2021-11-30,10.65,548144.58,272747.49,5.08,2.41,3.16,93857.61,371578.56,82708.41,72164.99,168955.79,31626.71,820902.72,ribu,316.71,216.31,,,,
2021-12-31,55.27,608673.48,206344.60,49.61,2.41,3.25,103375.74,413993.37,91304.37,30265.40,152053.07,24026.13,815073.35,ribu,304.31,221.30,,,,
